Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Spritzer,0.00137,0.751,0.858,0.861,10,0.154,-6.48,0.0581,122.026,,,,
Just Kiddin,4bazJLWIv8CuqmgxJRiGqo,Good Morning - Just Kiddin Remix,0.0112,0.702,0.935,0.509,8,0.315,-4.135,0.054,122.957,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Say Something - Zac Samuel Remix,0.0099,0.698,0.697,8.04E-06,7,0.144,-6.125,0.0389,119.993,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Play It Cool - Crazy Cousinz Remix,0.00121,0.64,0.938,0.223,6,0.199,-5.625,0.0333,124.004,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Never Letting Go,0.0394,0.658,0.831,0.0036,9,0.247,-4.113,0.0375,108.025,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Takes A Little Time,0.132,0.681,0.783,0.0112,7,0.156,-5.986,0.034,117.985,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Set Out Your Loving,0.327,0.63,0.862,0,7,0.824,-5.071,0.0605,125.124,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Who Do You Think Of? - Zac Samuel Remix,0.00675,0.574,0.885,0.000667,2,0.353,-5.903,0.0679,119.988,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Got the Feeling - Zac Samuel Remix,0.00899,0.677,0.709,0.000285,0,0.119,-9.293,0.0309,123.96,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Sunset Lover - Zac Samuel Remix,0.61,0.691,0.642,0.0976,6,0.14,-8.272,0.03,117.993,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Losing You,0.0106,0.713,0.706,0.0728,0,0.0984,-7.199,0.0426,122.005,,,,
Zac Samuel,3imlibJrwqYv8gqII7u4r0,Play It Cool,0.0115,0.666,0.714,3.67E-05,1,0.265,-6.921,0.0318,97.012,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Real Life,0.148,0.543,0.74,0.00358,7,0.142,-5.187,0.0557,123.916,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Ready For Your Love,0.0531,0.677,0.753,0.0128,5,0.333,-7.038,0.154,121.939,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Go Deep,0.207,0.78,0.742,0.000246,9,0.0831,-6.379,0.0481,124.962,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,One Last Song,0.0371,0.66,0.831,0,6,0.238,-5.535,0.0469,110.034,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,All Four Walls,0.0111,0.552,0.837,0.213,5,0.0773,-6.246,0.0403,123.951,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Imagination,0.0291,0.682,0.701,0.000643,0,0.298,-7.517,0.0327,121.989,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Kingdom,0.0971,0.702,0.788,0,9,0.0864,-5.543,0.0652,117.015,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Saving My Life,0.0137,0.68,0.788,4.83E-05,8,0.0955,-7.643,0.0602,123.003,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Let It Go - Sonny Fodera Remix,0.00461,0.768,0.773,0.0666,6,0.18,-5.603,0.0361,124.008,,,,
